Cuvant,Locatii
bite,"(Linia 229, Pozitia 1), (Linia 1205, Pozitia 16), (Linia 1206, Pozitia 4), (Linia 1209, Pozitia 11)"
bizarre,"(Linia 531, Pozitia 5), (Linia 545, Pozitia 6), (Linia 1098, Pozitia 9)"
black,"(Linia 291, Pozitia 13)"
blow,"(Linia 284, Pozitia 18)"
blessed,"(Linia 678, Pozitia 15)"
blind,"(Linia 1075, Pozitia 5)"
blush,"(Linia 1106, Pozitia 13)"
blushed,"(Linia 311, Pozitia 2), (Linia 1097, Pozitia 3), (Linia 1103, Pozitia 4), (Linia 1106, Pozitia 4)"
blushing,"(Linia 429, Pozitia 13)"
born,"(Linia 341, Pozitia 12)"
boldly,"(Linia 455, Pozitia 8)"
boa,"(Linia 185, Pozitia 11), (Linia 185, Pozitia 17)"
boas,"(Linia 63, Pozitia 7), (Linia 63, Pozitia 10), (Linia 1089, Pozitia 12), (Linia 1089, Pozitia 15)"
boasting,"(Linia 949, Pozitia 6)"
body,"(Linia 1217, Pozitia 13), (Linia 1245, Pozitia 12), (Linia 1245, Pozitia 19)"
books,"(Linia 9, Pozitia 7)"
bolt,"(Linia 273, Pozitia 16), (Linia 278, Pozitia 1), (Linia 284, Pozitia 14), (Linia 317, Pozitia 10)"
book,"(Linia 7, Pozitia 9), (Linia 11, Pozitia 12), (Linia 17, Pozitia 15), (Linia 20, Pozitia 6), (Linia 180, Pozitia 9), (Linia 242, Pozitia 8), (Linia 687, Pozitia 6)"
books,"(Linia 682, Pozitia 3), (Linia 707, Pozitia 11), (Linia 734, Pozitia 9), (Linia 734, Pozitia 12)"
bored,"(Linia 473, Pozitia 15), (Linia 897, Pozitia 11)"
boring,"(Linia 230, Pozitia 11)"
born,"(Linia 1065, Pozitia 10)"
bought,"(Linia 183, Pozitia 15)"
both,"(Linia 662, Pozitia 5)"
bottles,"(Linia 536, Pozitia 6), (Linia 536, Pozitia 12)"
boys,"(Linia 881, Pozitia 1)"
box,"(Linia 97, Pozitia 3), (Linia 131, Pozitia 6), (Linia 184, Pozitia 1)"
boy,"(Linia 15, Pozitia 6), (Linia 880, Pozitia 11), (Linia 1029, Pozitia 2), (Linia 1066, Pozitia 21)"
bracelet,"(Linia 806, Pozitia 14)"
bread,"(Linia 900, Pozitia 13)"
called,"(Linia 18, Pozitia 1)"
brothers,"(Linia 164, Pozitia 7)"
breathe,"(Linia 370, Pozitia 9)"
breakdown,"(Linia 274, Pozitia 6), (Linia 995, Pozitia 9)"
breakfast,"(Linia 344, Pozitia 6), (Linia 383, Pozitia 2)"
bridge,"(Linia 45, Pozitia 2)"
breathed,"(Linia 297, Pozitia 13), (Linia 684, Pozitia 10), (Linia 1076, Pozitia 5)"
breed,"(Linia 876, Pozitia 1)"
brick,"(Linia 166, Pozitia 3)"
bring,"(Linia 231, Pozitia 17), (Linia 717, Pozitia 14)"
broken,"(Linia 49, Pozitia 4)"
butterflies,"(Linia 163, Pozitia 13), (Linia 405, Pozitia 14)"
brusquely,"(Linia 266, Pozitia 7)"
brought,"(Linia 327, Pozitia 16), (Linia 438, Pozitia 11)"
brow,"(Linia 1037, Pozitia 15)"
burn,"(Linia 385, Pozitia 1)"
bucket,"(Linia 1053, Pozitia 15), (Linia 1060, Pozitia 5), (Linia 1064, Pozitia 4)"
bundles,"(Linia 965, Pozitia 7)"
buried,"(Linia 1029, Pozitia 17)"
bush,"(Linia 220, Pozitia 13)"
burrow,"(Linia 899, Pozitia 12)"
burst,"(Linia 117, Pozitia 9), (Linia 137, Pozitia 4), (Linia 226, Pozitia 5), (Linia 316, Pozitia 8)"
businessman,"(Linia 547, Pozitia 8), (Linia 559, Pozitia 2), (Linia 566, Pozitia 2), (Linia 593, Pozitia 7), (Linia 601, Pozitia 14), (Linia 618, Pozitia 2), (Linia 627, Pozitia 1), (Linia 672, Pozitia 16), (Linia 1183, Pozitia 3)"
businessmen,"(Linia 756, Pozitia 2)"
busy,"(Linia 273, Pozitia 9), (Linia 287, Pozitia 18), (Linia 547, Pozitia 13)"
but,"(Linia 206, Pozitia 14), (Linia 230, Pozitia 13), (Linia 243, Pozitia 7), (Linia 331, Pozitia 12), (Linia 343, Pozitia 11), (Linia 355, Pozitia 7), (Linia 365, Pozitia 8), (Linia 370, Pozitia 15), (Linia 421, Pozitia 9), (Linia 449, Pozitia 9), (Linia 453, Pozitia 5), (Linia 521, Pozitia 12), (Linia 528, Pozitia 13), (Linia 533, Pozitia 14), (Linia 606, Pozitia 2), (Linia 618, Pozitia 6), (Linia 674, Pozitia 2), (Linia 700, Pozitia 6), (Linia 812, Pozitia 12), (Linia 832, Pozitia 10), (Linia 864, Pozitia 10), (Linia 880, Pozitia 8), (Linia 906, Pozitia 7), (Linia 929, Pozitia 16), (Linia 944, Pozitia 4), (Linia 997, Pozitia 14), (Linia 1004, Pozitia 7), (Linia 1019, Pozitia 7), (Linia 1046, Pozitia 11), (Linia 1089, Pozitia 11), (Linia 1106, Pozitia 10), (Linia 1120, Pozitia 9), (Linia 1128, Pozitia 6), (Linia 1132, Pozitia 14), (Linia 1144, Pozitia 7), (Linia 1182, Pozitia 5), (Linia 1236, Pozitia 4), (Linia 1242, Pozitia 15), (Linia 1263, Pozitia 9)"
by,"(Linia 4, Pozitia 5)"
butterflies,"(Linia 948, Pozitia 11)"
butterfly,"(Linia 457, Pozitia 15)"
button,"(Linia 331, Pozitia 4)"
buy,"(Linia 589, Pozitia 3), (Linia 909, Pozitia 3)"
calculation,"(Linia 31, Pozitia 13), (Linia 75, Pozitia 1), (Linia 779, Pozitia 13)"
by,"(Linia 33, Pozitia 2), (Linia 50, Pozitia 8), (Linia 58, Pozitia 12), (Linia 62, Pozitia 9), (Linia 108, Pozitia 12), (Linia 109, Pozitia 1), (Linia 126, Pozitia 8), (Linia 153, Pozitia 12), (Linia 234, Pozitia 12), (Linia 237, Pozitia 18), (Linia 244, Pozitia 2), (Linia 246, Pozitia 8), (Linia 277, Pozitia 16), (Linia 333, Pozitia 11), (Linia 348, Pozitia 7), (Linia 397, Pozitia 4), (Linia 399, Pozitia 12), (Linia 413, Pozitia 1), (Linia 414, Pozitia 5), (Linia 505, Pozitia 6), (Linia 533, Pozitia 6), (Linia 561, Pozitia 10), (Linia 672, Pozitia 1), (Linia 672, Pozitia 5), (Linia 672, Pozitia 8), (Linia 672, Pozitia 11), (Linia 672, Pozitia 14), (Linia 681, Pozitia 13), (Linia 947, Pozitia 10), (Linia 1100, Pozitia 5), (Linia 1155, Pozitia 13), (Linia 1213, Pozitia 5), (Linia 1266, Pozitia 11)"
cab,"(Linia 967, Pozitia 12)"
cabbages,"(Linia 1084, Pozitia 8)"
calculations,"(Linia 988, Pozitia 13)"
calendar,"(Linia 470, Pozitia 13)"
call,"(Linia 899, Pozitia 7)"
closer,"(Linia 420, Pozitia 2)"
caught,"(Linia 120, Pozitia 2)"
capable,"(Linia 79, Pozitia 2)"
calls,"(Linia 150, Pozitia 12)"
came,"(Linia 107, Pozitia 11), (Linia 152, Pozitia 15), (Linia 172, Pozitia 4), (Linia 195, Pozitia 15), (Linia 762, Pozitia 9), (Linia 765, Pozitia 3), (Linia 807, Pozitia 13), (Linia 830, Pozitia 5), (Linia 1099, Pozitia 1)"
can,"(Linia 9, Pozitia 2), (Linia 21, Pozitia 3), (Linia 123, Pozitia 5), (Linia 126, Pozitia 2), (Linia 143, Pozitia 5), (Linia 167, Pozitia 1), (Linia 182, Pozitia 20), (Linia 220, Pozitia 15), (Linia 224, Pozitia 5), (Linia 283, Pozitia 3), (Linia 309, Pozitia 5), (Linia 350, Pozitia 2), (Linia 418, Pozitia 2), (Linia 425, Pozitia 2), (Linia 429, Pozitia 6), (Linia 461, Pozitia 12), (Linia 488, Pozitia 6), (Linia 490, Pozitia 6), (Linia 528, Pozitia 15), (Linia 592, Pozitia 2), (Linia 604, Pozitia 7), (Linia 605, Pozitia 1), (Linia 605, Pozitia 11), (Linia 606, Pozitia 4), (Linia 662, Pozitia 3), (Linia 694, Pozitia 2), (Linia 696, Pozitia 2), (Linia 698, Pozitia 2), (Linia 737, Pozitia 5), (Linia 792, Pozitia 13), (Linia 804, Pozitia 14), (Linia 805, Pozitia 2), (Linia 810, Pozitia 12), (Linia 811, Pozitia 6), (Linia 869, Pozitia 2), (Linia 914, Pozitia 11), (Linia 944, Pozitia 12), (Linia 1018, Pozitia 2), (Linia 1043, Pozitia 12), (Linia 1141, Pozitia 12), (Linia 1188, Pozitia 2), (Linia 1206, Pozitia 3), (Linia 1217, Pozitia 9)"
carried,"(Linia 207, Pozitia 7)"
caravan,"(Linia 822, Pozitia 8)"
career,"(Linia 32, Pozitia 12), (Linia 62, Pozitia 5)"
carefully,"(Linia 228, Pozitia 12), (Linia 332, Pozitia 14), (Linia 381, Pozitia 12), (Linia 1265, Pozitia 2)"
cares,"(Linia 673, Pozitia 18)"
castaway,"(Linia 53, Pozitia 6)"
carry,"(Linia 605, Pozitia 6), (Linia 805, Pozitia 3), (Linia 1036, Pozitia 5), (Linia 1217, Pozitia 11)"
case,"(Linia 1153, Pozitia 9)"
cast,"(Linia 691, Pozitia 16)"
catastrophe,"(Linia 234, Pozitia 6)"
catastrophes,"(Linia 707, Pozitia 8)"
caterpillars,"(Linia 405, Pozitia 7), (Linia 948, Pozitia 1)"
childrens,"(Linia 9, Pozitia 6)"
certain,"(Linia 190, Pozitia 9)"
caught,"(Linia 199, Pozitia 3)"
cause,"(Linia 707, Pozitia 7)"
causing,"(Linia 387, Pozitia 2)"
ceased,"(Linia 329, Pozitia 17)"
change,"(Linia 435, Pozitia 12), (Linia 458, Pozitia 2)"
chair,"(Linia 258, Pozitia 4), (Linia 454, Pozitia 9), (Linia 659, Pozitia 2)"
chance,"(Linia 108, Pozitia 13), (Linia 196, Pozitia 4), (Linia 1100, Pozitia 6)"
change,"(Linia 740, Pozitia 12)"
chewing,"(Linia 20, Pozitia 14)"
changed,"(Linia 646, Pozitia 8), (Linia 647, Pozitia 5), (Linia 648, Pozitia 12), (Linia 1255, Pozitia 4)"
changes,"(Linia 735, Pozitia 12), (Linia 1260, Pozitia 2)"
chase,"(Linia 896, Pozitia 6), (Linia 896, Pozitia 9)"
chickens,"(Linia 876, Pozitia 2), (Linia 876, Pozitia 12), (Linia 896, Pozitia 7), (Linia 896, Pozitia 13)"
child,"(Linia 11, Pozitia 15), (Linia 67, Pozitia 6), (Linia 171, Pozitia 12), (Linia 1149, Pozitia 17), (Linia 1267, Pozitia 8)"
children,"(Linia 7, Pozitia 5), (Linia 12, Pozitia 7), (Linia 34, Pozitia 11), (Linia 232, Pozitia 5), (Linia 978, Pozitia 3), (Linia 1090, Pozitia 10)"
chose,"(Linia 332, Pozitia 15)"
chimney,"(Linia 385, Pozitia 11)"
choose,"(Linia 36, Pozitia 5)"
cities,"(Linia 690, Pozitia 11)"
churches,"(Linia 207, Pozitia 1)"
cigarette,"(Linia 549, Pozitia 7)"
circles,"(Linia 1047, Pozitia 9)"
cities,"(Linia 697, Pozitia 2)"
close,"(Linia 40, Pozitia 8)"
cities,"(Linia 701, Pozitia 9)"
claws,"(Linia 350, Pozitia 8), (Linia 371, Pozitia 7), (Linia 407, Pozitia 6)"
cloak,"(Linia 439, Pozitia 2)"
close,"(Linia 1096, Pozitia 4)"
closed,"(Linia 63, Pozitia 6), (Linia 79, Pozitia 7), (Linia 185, Pozitia 10), (Linia 1037, Pozitia 17), (Linia 1064, Pozitia 12), (Linia 1089, Pozitia 13)"
closely,"(Linia 328, Pozitia 10)"
come,"(Linia 42, Pozitia 14), (Linia 119, Pozitia 4), (Linia 123, Pozitia 7), (Linia 128, Pozitia 4)"
cold,"(Linia 10, Pozitia 11)"
closer,"(Linia 914, Pozitia 15)"
cluttered,"(Linia 421, Pozitia 13)"
coach,"(Linia 482, Pozitia 6)"
cockchart,"(Linia 561, Pozitia 12)"
color,"(Linia 189, Pozitia 5)"
cold,"(Linia 358, Pozitia 13), (Linia 395, Pozitia 11), (Linia 403, Pozitia 5), (Linia 1159, Pozitia 4)"
colleague,"(Linia 768, Pozitia 14)"
collect,"(Linia 163, Pozitia 12)"
collection,"(Linia 536, Pozitia 3), (Linia 536, Pozitia 9)"
color,"(Linia 935, Pozitia 9), (Linia 1077, Pozitia 3)"
colored,"(Linia 23, Pozitia 1)"
colors,"(Linia 184, Pozitia 3), (Linia 333, Pozitia 2)"
constrictor,"(Linia 18, Pozitia 9)"
command,"(Linia 427, Pozitia 6)"
come,"(Linia 350, Pozitia 3), (Linia 359, Pozitia 3), (Linia 360, Pozitia 8), (Linia 389, Pozitia 7), (Linia 686, Pozitia 5), (Linia 720, Pozitia 3), (Linia 808, Pozitia 4), (Linia 916, Pozitia 17), (Linia 918, Pozitia 4), (Linia 919, Pozitia 12), (Linia 1199, Pozitia 9), (Linia 1201, Pozitia 22), (Linia 1269, Pozitia 9)"
comes,"(Linia 1267, Pozitia 9)"
comforted,"(Linia 10, Pozitia 16), (Linia 1190, Pozitia 5), (Linia 1244, Pozitia 4)"
coming,"(Linia 971, Pozitia 2)"
complicated,"(Linia 110, Pozitia 9), (Linia 357, Pozitia 2)"
commanded,"(Linia 435, Pozitia 3)"
commandest,"(Linia 462, Pozitia 7)"
comme,"(Linia 1239, Pozitia 4)"
complaining,"(Linia 949, Pozitia 4)"
condemn,"(Linia 490, Pozitia 13), (Linia 493, Pozitia 10)"
complicated,"(Linia 716, Pozitia 5)"
comrades,"(Linia 1242, Pozitia 1)"
conceited,"(Linia 505, Pozitia 8), (Linia 508, Pozitia 4), (Linia 510, Pozitia 7), (Linia 513, Pozitia 10), (Linia 514, Pozitia 11), (Linia 517, Pozitia 12)"
concerned,"(Linia 432, Pozitia 6)"
confuse,"(Linia 295, Pozitia 2)"
conditions,"(Linia 468, Pozitia 4), (Linia 498, Pozitia 1)"
confessed,"(Linia 541, Pozitia 7)"
confided,"(Linia 369, Pozitia 9), (Linia 373, Pozitia 3)"
confused,"(Linia 346, Pozitia 6), (Linia 425, Pozitia 11)"
considerable,"(Linia 238, Pozitia 7)"
console,"(Linia 318, Pozitia 10), (Linia 1190, Pozitia 8)"
contact,"(Linia 39, Pozitia 13)"
constrictor,"(Linia 27, Pozitia 12), (Linia 28, Pozitia 6)"
constrictors,"(Linia 20, Pozitia 8), (Linia 30, Pozitia 12), (Linia 44, Pozitia 1)"
consulted,"(Linia 470, Pozitia 10)"
contradictory,"(Linia 376, Pozitia 11)"
contain,"(Linia 339, Pozitia 7)"
contemplation,"(Linia 125, Pozitia 6)"
continents,"(Linia 759, Pozitia 11)"
continued,"(Linia 663, Pozitia 4), (Linia 1121, Pozitia 2)"
contrary,"(Linia 423, Pozitia 3)"
convenient,"(Linia 382, Pozitia 11)"
convinced,"(Linia 172, Pozitia 14)"
cool,"(Linia 403, Pozitia 10)"
even,"(Linia 9, Pozitia 5)"
day,"(Linia 616289520, Pozitia 491), (Linia 616174816, Pozitia 491), (Linia 196, Pozitia 11), (Linia 231, Pozitia 3), (Linia 232, Pozitia 13), (Linia 248, Pozitia 2), (Linia 259, Pozitia 2), (Linia 262, Pozitia 3), (Linia 265, Pozitia 3), (Linia 299, Pozitia 4), (Linia 327, Pozitia 12), (Linia 348, Pozitia 13), (Linia 369, Pozitia 13), (Linia 454, Pozitia 5)"
cried,"(Linia 168, Pozitia 5)"
costume,"(Linia 156, Pozitia 9), (Linia 189, Pozitia 8)"
coquette,"(Linia 335, Pozitia 6)"
corn,"(Linia 935, Pozitia 12)"
corner,"(Linia 913, Pozitia 11)"
correct,"(Linia 13, Pozitia 1)"
cost,"(Linia 588, Pozitia 5)"
could,"(Linia 28, Pozitia 11), (Linia 42, Pozitia 13), (Linia 147, Pozitia 2), (Linia 190, Pozitia 1), (Linia 232, Pozitia 19), (Linia 243, Pozitia 9), (Linia 316, Pozitia 2), (Linia 329, Pozitia 6), (Linia 339, Pozitia 5), (Linia 371, Pozitia 1), (Linia 440, Pozitia 13), (Linia 497, Pozitia 2)"
cough,"(Linia 366, Pozitia 6), (Linia 854, Pozitia 15)"
coughed,"(Linia 362, Pozitia 7), (Linia 395, Pozitia 3)"
could,"(Linia 623, Pozitia 14)"
course,"(Linia 39, Pozitia 6), (Linia 61, Pozitia 5)"
could,"(Linia 624, Pozitia 7), (Linia 676, Pozitia 7), (Linia 776, Pozitia 14), (Linia 998, Pozitia 18), (Linia 1072, Pozitia 9), (Linia 1125, Pozitia 11), (Linia 1159, Pozitia 16), (Linia 1233, Pozitia 6), (Linia 1235, Pozitia 15), (Linia 1248, Pozitia 8)"
count,"(Linia 601, Pozitia 7), (Linia 701, Pozitia 8)"
country,"(Linia 99, Pozitia 18)"
courage,"(Linia 748, Pozitia 12)"
cracked,"(Linia 1091, Pozitia 3)"
course,"(Linia 132, Pozitia 3), (Linia 175, Pozitia 3), (Linia 186, Pozitia 6), (Linia 451, Pozitia 2), (Linia 597, Pozitia 3), (Linia 745, Pozitia 3), (Linia 755, Pozitia 3), (Linia 778, Pozitia 4), (Linia 880, Pozitia 2), (Linia 931, Pozitia 2), (Linia 933, Pozitia 2), (Linia 944, Pozitia 18), (Linia 1023, Pozitia 4), (Linia 1030, Pozitia 1), (Linia 1073, Pozitia 2), (Linia 1123, Pozitia 4), (Linia 1157, Pozitia 5), (Linia 1167, Pozitia 3), (Linia 1170, Pozitia 3), (Linia 1173, Pozitia 3), (Linia 1241, Pozitia 4)"
cowl,"(Linia 1137, Pozitia 7)"
crates,"(Linia 192, Pozitia 14)"
crazy,"(Linia 1194, Pozitia 6)"
creating,"(Linia 628, Pozitia 7)"
currents,"(Linia 355, Pozitia 10)"
crois,"(Linia 379, Pozitia 2)"
crimson,"(Linia 297, Pozitia 9)"
crisis,"(Linia 563, Pozitia 7)"
cry,"(Linia 501, Pozitia 9), (Linia 860, Pozitia 5), (Linia 932, Pozitia 5), (Linia 980, Pozitia 16)"
crossed,"(Linia 817, Pozitia 4)"
crush,"(Linia 978, Pozitia 5)"
cumbersome,"(Linia 81, Pozitia 2)"
crying,"(Linia 410, Pozitia 10), (Linia 1112, Pozitia 12), (Linia 1227, Pozitia 9)"
cultivate,"(Linia 1069, Pozitia 10)"
curb,"(Linia 1060, Pozitia 9)"
curiosities,"(Linia 428, Pozitia 4)"
curious,"(Linia 622, Pozitia 6)"
danced,"(Linia 925, Pozitia 6)"
cut,"(Linia 722, Pozitia 8)"
dance,"(Linia 764, Pozitia 11), (Linia 923, Pozitia 16)"
dangerous,"(Linia 80, Pozitia 19)"
danced,"(Linia 1015, Pozitia 2)"
dancers,"(Linia 764, Pozitia 1)"
danger,"(Linia 73, Pozitia 11), (Linia 237, Pozitia 6), (Linia 240, Pozitia 1), (Linia 319, Pozitia 11), (Linia 1007, Pozitia 5)"
dangling,"(Linia 1116, Pozitia 16)"
dare,"(Linia 72, Pozitia 10), (Linia 678, Pozitia 7)"
dared,"(Linia 1138, Pozitia 2)"
dawn,"(Linia 54, Pozitia 5), (Linia 1044, Pozitia 9)"
day,"(Linia 614, Pozitia 12)"
discouraged,"(Linia 33, Pozitia 1)"
dedication,"(Linia 13, Pozitia 3)"
de,"(Linia 2, Pozitia 2)"
day,"(Linia 644, Pozitia 13), (Linia 665, Pozitia 18), (Linia 792, Pozitia 15), (Linia 822, Pozitia 4), (Linia 914, Pozitia 9), (Linia 915, Pozitia 3), (Linia 922, Pozitia 13), (Linia 924, Pozitia 14), (Linia 995, Pozitia 6), (Linia 1120, Pozitia 8), (Linia 1266, Pozitia 1)"
daybreak,"(Linia 1076, Pozitia 10), (Linia 1245, Pozitia 6)"
daydream,"(Linia 572, Pozitia 3)"
days,"(Linia 335, Pozitia 12), (Linia 335, Pozitia 14), (Linia 652, Pozitia 7), (Linia 655, Pozitia 6), (Linia 923, Pozitia 1), (Linia 925, Pozitia 11)"
decided,"(Linia 409, Pozitia 9)"
dead,"(Linia 66, Pozitia 3), (Linia 66, Pozitia 7), (Linia 66, Pozitia 15), (Linia 1214, Pozitia 15)"
deal,"(Linia 601, Pozitia 3)"
death,"(Linia 51, Pozitia 5), (Linia 66, Pozitia 11), (Linia 73, Pozitia 13), (Linia 158, Pozitia 5), (Linia 317, Pozitia 15), (Linia 490, Pozitia 16), (Linia 493, Pozitia 12)"
decidedly,"(Linia 531, Pozitia 4)"
dedicate,"(Linia 11, Pozitia 10)"
dedicating,"(Linia 7, Pozitia 7)"
details,"(Linia 160, Pozitia 7)"
demand,"(Linia 461, Pozitia 5), (Linia 463, Pozitia 11), (Linia 467, Pozitia 10)"
defend,"(Linia 747, Pozitia 1)"
definitely,"(Linia 545, Pozitia 4), (Linia 619, Pozitia 4)"
degrees,"(Linia 1155, Pozitia 14)"
delighted,"(Linia 1030, Pozitia 15)"
delightful,"(Linia 169, Pozitia 18)"
departure,"(Linia 195, Pozitia 10)"
demonstration,"(Linia 155, Pozitia 7), (Linia 159, Pozitia 1)"
departed,"(Linia 530, Pozitia 5)"
desert,"(Linia 48, Pozitia 17), (Linia 67, Pozitia 13)"
departure,"(Linia 381, Pozitia 4), (Linia 500, Pozitia 2), (Linia 927, Pozitia 13)"
depend,"(Linia 491, Pozitia 6)"
deposit,"(Linia 634, Pozitia 4), (Linia 648, Pozitia 9)"
depths,"(Linia 1031, Pozitia 10)"
describe,"(Linia 181, Pozitia 16), (Linia 720, Pozitia 13)"
desire,"(Linia 391, Pozitia 11)"
desert,"(Linia 790, Pozitia 4), (Linia 798, Pozitia 17), (Linia 817, Pozitia 6), (Linia 995, Pozitia 12), (Linia 1012, Pozitia 3), (Linia 1024, Pozitia 2), (Linia 1025, Pozitia 10), (Linia 1027, Pozitia 4), (Linia 1032, Pozitia 17), (Linia 1160, Pozitia 18), (Linia 1266, Pozitia 4)"
deserts,"(Linia 690, Pozitia 14), (Linia 697, Pozitia 6), (Linia 701, Pozitia 15), (Linia 790, Pozitia 11)"
designed,"(Linia 1247, Pozitia 9)"
despised,"(Linia 671, Pozitia 16)"
detail,"(Linia 247, Pozitia 15)"
dictator,"(Linia 157, Pozitia 12)"
details,"(Linia 190, Pozitia 12)"
diamond,"(Linia 597, Pozitia 8)"
difficult,"(Linia 50, Pozitia 13)"
did,"(Linia 40, Pozitia 10), (Linia 75, Pozitia 17), (Linia 122, Pozitia 3), (Linia 203, Pozitia 2), (Linia 263, Pozitia 5), (Linia 273, Pozitia 2), (Linia 320, Pozitia 14), (Linia 321, Pozitia 3), (Linia 326, Pozitia 3), (Linia 328, Pozitia 14), (Linia 331, Pozitia 15), (Linia 333, Pozitia 14), (Linia 374, Pozitia 2), (Linia 393, Pozitia 3), (Linia 398, Pozitia 5), (Linia 399, Pozitia 9), (Linia 410, Pozitia 3), (Linia 419, Pozitia 2), (Linia 425, Pozitia 13), (Linia 425, Pozitia 19), (Linia 432, Pozitia 14), (Linia 436, Pozitia 2), (Linia 458, Pozitia 10), (Linia 512, Pozitia 10), (Linia 521, Pozitia 4), (Linia 547, Pozitia 16), (Linia 632, Pozitia 4), (Linia 678, Pozitia 5), (Linia 929, Pozitia 10), (Linia 1004, Pozitia 2), (Linia 1017, Pozitia 3), (Linia 1019, Pozitia 2), (Linia 1050, Pozitia 5), (Linia 1058, Pozitia 2), (Linia 1093, Pozitia 3), (Linia 1121, Pozitia 9), (Linia 1128, Pozitia 9), (Linia 1144, Pozitia 2), (Linia 1165, Pozitia 3), (Linia 1210, Pozitia 4), (Linia 1237, Pozitia 3), (Linia 1237, Pozitia 14)"
die,"(Linia 855, Pozitia 4), (Linia 856, Pozitia 11), (Linia 944, Pozitia 14), (Linia 1003, Pozitia 5), (Linia 1005, Pozitia 12), (Linia 1201, Pozitia 16)"
dies,"(Linia 1133, Pozitia 15), (Linia 1139, Pozitia 11)"
different,"(Linia 585, Pozitia 12), (Linia 613, Pozitia 6), (Linia 898, Pozitia 10), (Linia 922, Pozitia 14)"
digestion,"(Linia 21, Pozitia 15)"
difficult,"(Linia 485, Pozitia 13), (Linia 486, Pozitia 2), (Linia 601, Pozitia 16)"
difficulties,"(Linia 795, Pozitia 3)"
digesting,"(Linia 27, Pozitia 13)"
disappointed,"(Linia 695, Pozitia 6)"
dimensions,"(Linia 758, Pozitia 8)"
direction,"(Linia 970, Pozitia 5)"
disappearance,"(Linia 743, Pozitia 10), (Linia 744, Pozitia 7)"
disappeared,"(Linia 1264, Pozitia 10)"
discipline,"(Linia 227, Pozitia 5)"
disconcerted,"(Linia 397, Pozitia 12)"
during,"(Linia 21, Pozitia 9)"
distraction,"(Linia 247, Pozitia 5)"
discovers,"(Linia 150, Pozitia 1)"
discouraged,"(Linia 62, Pozitia 2), (Linia 1221, Pozitia 3)"
discover,"(Linia 906, Pozitia 17), (Linia 919, Pozitia 4)"
discovered,"(Linia 391, Pozitia 9), (Linia 844, Pozitia 7), (Linia 1030, Pozitia 6), (Linia 1044, Pozitia 5)"
dismantling,"(Linia 94, Pozitia 13)"
discovery,"(Linia 155, Pozitia 10), (Linia 714, Pozitia 2), (Linia 717, Pozitia 3)"
discreet,"(Linia 446, Pozitia 5)"
disheveled,"(Linia 338, Pozitia 14)"
disobedience,"(Linia 433, Pozitia 2)"
disobey,"(Linia 72, Pozitia 12)"
distance,"(Linia 506, Pozitia 15), (Linia 720, Pozitia 6), (Linia 761, Pozitia 5)"
distinguished,"(Linia 229, Pozitia 9)"
distracted,"(Linia 1253, Pozitia 8)"
domain,"(Linia 3, Pozitia 13)"
do,"(Linia 72, Pozitia 8)"
disturb,"(Linia 326, Pozitia 5)"
disturbed,"(Linia 285, Pozitia 8), (Linia 560, Pozitia 16)"
do,"(Linia 80, Pozitia 7)"
doing,"(Linia 69, Pozitia 5), (Linia 305, Pozitia 14), (Linia 535, Pozitia 5), (Linia 643, Pozitia 3), (Linia 650, Pozitia 6), (Linia 687, Pozitia 14), (Linia 794, Pozitia 10), (Linia 964, Pozitia 5)"
do,"(Linia 128, Pozitia 2), (Linia 128, Pozitia 14), (Linia 136, Pozitia 4), (Linia 138, Pozitia 4), (Linia 180, Pozitia 3), (Linia 192, Pozitia 4), (Linia 213, Pozitia 7), (Linia 228, Pozitia 6), (Linia 236, Pozitia 14), (Linia 282, Pozitia 3), (Linia 287, Pozitia 9), (Linia 351, Pozitia 16), (Linia 400, Pozitia 19), (Linia 403, Pozitia 16), (Linia 443, Pozitia 4), (Linia 451, Pozitia 11), (Linia 475, Pozitia 6), (Linia 481, Pozitia 2), (Linia 488, Pozitia 11), (Linia 493, Pozitia 6), (Linia 538, Pozitia 2), (Linia 555, Pozitia 13), (Linia 556, Pozitia 6), (Linia 563, Pozitia 14), (Linia 571, Pozitia 17), (Linia 575, Pozitia 3), (Linia 575, Pozitia 5), (Linia 578, Pozitia 3), (Linia 578, Pozitia 5), (Linia 579, Pozitia 3), (Linia 579, Pozitia 5), (Linia 585, Pozitia 3), (Linia 594, Pozitia 3), (Linia 600, Pozitia 10), (Linia 600, Pozitia 12), (Linia 639, Pozitia 2), (Linia 686, Pozitia 3), (Linia 730, Pozitia 2), (Linia 749, Pozitia 2), (Linia 774, Pozitia 1), (Linia 779, Pozitia 11), (Linia 780, Pozitia 9), (Linia 804, Pozitia 7), (Linia 812, Pozitia 14), (Linia 881, Pozitia 4), (Linia 881, Pozitia 10), (Linia 900, Pozitia 10), (Linia 901, Pozitia 3), (Linia 987, Pozitia 2), (Linia 990, Pozitia 3), (Linia 990, Pozitia 5), (Linia 1046, Pozitia 13), (Linia 1059, Pozitia 3), (Linia 1070, Pozitia 4), (Linia 1071, Pozitia 2), (Linia 1092, Pozitia 5), (Linia 1118, Pozitia 3), (Linia 1142, Pozitia 3), (Linia 1180, Pozitia 3), (Linia 1185, Pozitia 3), (Linia 1199, Pozitia 7), (Linia 1257, Pozitia 15), (Linia 1266, Pozitia 16)"
